      support                                               itemsets  length
173  0.013421                             (other vegetables, coffee)       2
299  0.013320                                      (soda, pip fruit)       2
292  0.013218                               (tropical fruit, pastry)       2
362  0.013015           (other vegetables, whole milk, citrus fruit)       3
139  0.012913                              (root vegetables, butter)       2
383  0.012913            (other vegetables, yogurt, root vegetables)       3
168  0.012811                                   (soda, citrus fruit)       2
238  0.012811                         (whole milk, hygiene articles)       2
319  0.012811                       (shopping bags, root vegetables)       2
348  0.012710                                  (whole milk, waffles)       2
154  0.012710                          (other vegetables, chocolate)       2
393  0.012710              (whole milk, rolls/buns, root vegetables)       3
127  0.012608                              (rolls/buns, brown bread)       2
131  0.012608                                    (soda, brown bread)       2
289  0.012506                                      (sausage, pastry)       2
182  0.012405                                 (yogurt, cream cheese)       2
218  0.012405                            (frozen vegetables, yogurt)       2
200  0.012405                                  (soda, domestic eggs)       2
387  0.012303             (other vegetables, yogurt, tropical fruit)       3
256  0.012303                                      (yogurt, napkins)       2
381  0.012303    (other vegetables, tropical fruit, root vegetables)       3
368  0.012303          (other vegetables, whole milk, domestic eggs)       3
377  0.012201        (other vegetables, rolls/buns, root vegetables)       3
268  0.012100                                   (onions, whole milk)       2
398  0.011998          (whole milk, tropical fruit, root vegetables)       3
253  0.011998                                        (soda, napkins)       2
222  0.011998               (fruit/vegetable juice, root vegetables)       2
119  0.011998                               (bottled water, sausage)       2
306  0.011896                                           (soda, pork)       2
290  0.011896                                (pastry, shopping bags)       2
101  0.011795                                  (whole milk, berries)       2
155  0.011795                                (rolls/buns, chocolate)       2
261  0.011795                           (tropical fruit, newspapers)       2
251  0.011693                                  (napkins, rolls/buns)       2
98   0.011693                                         (yogurt, beef)       2
190  0.011591                            (other vegetables, dessert)       2
340  0.011591                             (whipped/sour cream, soda)       2
216  0.011591                   (frozen vegetables, root vegetables)       2
145  0.011591                              (whole milk, butter milk)       2
358  0.011490                 (other vegetables, whole milk, butter)       3
259  0.011490                          (newspapers, root vegetables)       2
380  0.011490                 (other vegetables, yogurt, rolls/buns)       3
232  0.011490                                      (ham, whole milk)       2
201  0.011388                        (tropical fruit, domestic eggs)       2
148  0.011388                           (canned beer, shopping bags)       2
209  0.011286                                    (soda, frankfurter)       2
166  0.011286                                (sausage, citrus fruit)       2
304  0.011286                                     (pork, rolls/buns)       2
265  0.011286                                      (whole milk, oil)       2
114  0.011286                            (bottled water, newspapers)       2
147  0.011286                              (canned beer, rolls/buns)       2
326  0.011185                              (whole milk, salty snack)       2
212  0.011185                                  (yogurt, frankfurter)       2
243  0.011083                           (margarine, root vegetables)       2
120  0.010981                         (bottled water, shopping bags)       2
174  0.010981                                   (coffee, rolls/buns)       2
396  0.010981               (whole milk, tropical fruit, rolls/buns)       3
288  0.010981                              (pastry, root vegetables)       2
152  0.010880                             (chicken, root vegetables)       2
185  0.010880                                (curd, root vegetables)       2
170  0.010880                     (whipped/sour cream, citrus fruit)       2
403  0.010880               (whipped/sour cream, yogurt, whole milk)       3
355  0.010778          (other vegetables, bottled water, whole milk)       3
274  0.010778                        (other vegetables, salty snack)       2
279  0.010778                              (other vegetables, sugar)       2
337  0.010778                            (sliced cheese, whole milk)       2
297  0.010778                                   (sausage, pip fruit)       2
239  0.010676           (other vegetables, long life bakery product)       2
224  0.010676                 (shopping bags, fruit/vegetable juice)       2
129  0.010676                                 (sausage, brown bread)       2
132  0.010676                          (tropical fruit, brown bread)       2
286  0.010676                                    (pastry, pip fruit)       2
102  0.010574                                      (yogurt, berries)       2
116  0.010574                             (bottled water, pip fruit)       2
373  0.010574                 (other vegetables, whole milk, pastry)       3
187  0.010473                             (whipped/sour cream, curd)       2
401  0.010473                             (whole milk, soda, yogurt)       3
370  0.010473  (other vegetables, whole milk, fruit/vegetable juice)       3
160  0.010371                  (citrus fruit, fruit/vegetable juice)       2
159  0.010371                          (citrus fruit, domestic eggs)       2
360  0.010371      (other vegetables, citrus fruit, root vegetables)       3
144  0.010371                        (other vegetables, butter milk)       2
99   0.010269                            (other vegetables, berries)       2
186  0.010269                                 (tropical fruit, curd)       2
341  0.010269                                    (soda, white bread)       2
365  0.010269                     (yogurt, citrus fruit, whole milk)       3
113  0.010269                             (bottled water, margarine)       2
389  0.010168         (other vegetables, yogurt, whipped/sour cream)       3
128  0.010168                         (brown bread, root vegetables)       2
207  0.010168                         (frankfurter, root vegetables)       2
384  0.010168                (other vegetables, whole milk, sausage)       3
141  0.010168                           (whipped/sour cream, butter)       2
244  0.010168                                      (soda, margarine)       2
376  0.010168                   (other vegetables, whole milk, pork)       3
215  0.010168                        (frozen vegetables, rolls/buns)       2
254  0.010066                              (tropical fruit, napkins)       2
208  0.010066                                 (sausage, frankfurter)       2
281  0.010066                            (other vegetables, waffles)       2
367  0.010066                             (whole milk, yogurt, curd)       3
223  0.010066                       (sausage, fruit/vegetable juice)       2
184  0.010066                                     (curd, rolls/buns)       2
236  0.010066                              (whole milk, hard cheese)       2
